  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
39642 ?        00:00:00 717050.search6.
39645 ?        00:00:00 make
39646 ?        00:00:00 sh
39647 ?        00:00:00 make
39663 ?        00:00:00 mpif77
39664 ?        00:00:00 gfortran
39665 ?        00:00:00 f951
39666 ?        00:00:00 717050.search6.
39670 ?        00:00:00 ps
39671 ?        00:00:00 717050.search6.
39672 ?        00:00:00 lsof
39673 ?        00:00:00 top
39674 ?        00:00:00 grep
