  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
39773 ?        00:00:00 717050.search6.
39776 ?        00:00:00 make
39777 ?        00:00:00 sh
39778 ?        00:00:00 make
39794 ?        00:00:00 mpif77
39795 ?        00:00:00 gfortran
39796 ?        00:00:00 f951
39797 ?        00:00:00 717050.search6.
39801 ?        00:00:00 ps
39802 ?        00:00:00 717050.search6.
39803 ?        00:00:00 lsof
39804 ?        00:00:00 top
39805 ?        00:00:00 grep
