  PID TTY          TIME CMD
21174 ?        00:00:00 bash
21238 ?        00:00:00 717050.search6.
40008 ?        00:00:00 717050.search6.
40011 ?        00:00:00 make
40012 ?        00:00:00 sh
40013 ?        00:00:00 make
40029 ?        00:00:00 mpif77
40030 ?        00:00:00 gfortran
40031 ?        00:00:00 f951
40032 ?        00:00:00 717050.search6.
40036 ?        00:00:00 ps
40037 ?        00:00:00 717050.search6.
40038 ?        00:00:00 lsof
40039 ?        00:00:00 top
40040 ?        00:00:00 grep
